('aKila', 'a)niKila', 'b)yamaH', 'c)indrajAlam', 'd)karkawaSfNgI')
('akzama', 'a)vyavahArAyogya', 'b)aDilABAMSaH', 'c)SItarUraH', 'd)pratipad')
('mUrKa', 'a)mUQa', 'b)BUmiH', 'c)agre', 'd)atimitratA')
('apracalita', 'a)avyavahfta', 'b)apekzA', 'c)sADu', 'd)maRqalam')
('nipuRa', 'a)pravIRa', 'b)brAhmaRI', 'c)ftiH', 'd)varzaSilA')
('kzama', 'a)samarTa', 'b)mazi', 'c)aBipUjita', 'd)ajAjI')
('Sizwa', 'a)Badra', 'b)pramfj', 'c)has', 'd)Arya')
('sADu', 'a)Badra', 'b)vyAKyA', 'c)ESvarIya', 'd)svAmyAnuraktA')
('naraBakzaka', 'a)mAnavaBakzaka', 'b)ASritatA', 'c)aPena', 'd)niveSaH')
('anATa', 'a)nirnATa', 'b)ameDya', 'c)gopIkA', 'd)saMDUmAya')
('asahAya', 'a)niHsahAya', 'b)Asya', 'c)praticodanA', 'd)Akramita')
('apitfka', 'a)pitfhIna', 'b)sUryakAntiH', 'c)kuSalaH', 'd)samarTita')
('sADanahIna', 'a)sADanavihIna', 'b)ati', 'c)pARquH', 'd)mukulita')
('SfgAlI', 'a)SfgAlikA', 'b)samBramaH', 'c)kISaH', 'd)prAN')
('mAtfhIna', 'a)mAtfvihIna', 'b)aDogata', 'c)apagam', 'd)timilAyAH')
('sADanasampanna', 'a)sADanapUrRa', 'b)brahmaH', 'c)praDAnamantri', 'd)aBiviSruta')
('apamAnaH', 'a)BartsanA', 'b)aparyAptam', 'c)aryamA', 'd)vizam')
('aSizwatA', 'a)aBadratA', 'b)mADavI', 'c)BrAntiH', 'd)qevisa')
('AdaraH', 'a)satkAraH', 'b)garBasamplavaH', 'c)jatukArI', 'd)gaj')
('ISvaraH', 'a)parameSvaraH', 'b)Kid', 'c)neSanala', 'd)SvetadvIpaH')
('nAmahIna', 'a)anAma', 'b)tantram', 'c)kAtaraH', 'd)dUravARI')
('divyaSaktiH', 'a)sarvoccaSaktiH', 'b)utplavA', 'c)icCatvam', 'd)vyavasAyaH')
('nAmaka', 'a)aBiDeya', 'b)nAvAjaH', 'c)kftakftya', 'd)nOkAsTAnam')
('sahasA', 'a)akasmAt', 'b)nikzepaH', 'c)banDakaH', 'd)pOzwika')
('aprayatnataH', 'a)prayatnahInataH', 'b)ABAzita', 'c)rAjyaDurA', 'd)utpAdita')
('prayatnataH', 'a)sAyAsaH', 'b)rajanIganDaH', 'c)vastrAgAraH', 'd)dfzwvA')
('anAvaraRam', 'a)anAcCAdanam', 'b)prArabDADIna', 'c)viviDatA', 'd)Aram')
('kAYcanAraH', 'a)kovidAraH', 'b)apratyASita', 'c)dfQatA', 'd)kfzikarman')
('kAYcanAraH', 'a)kovidAraH', 'b)varizWADikArI', 'c)KarozwrI', 'd)janaSrutiH')
('kampostapAMSuH', 'a)kampostapAMsuH', 'b)praSamaya', 'c)mehaH', 'd)varAnanaH')
('rahasyaBedanam', 'a)sPowaH', 'b)AvedakaH', 'c)anekavAram', 'd)DarmarAjaH')
('avyavasTita', 'a)anavasTita', 'b)alI', 'c)halavAH', 'd)acetanatA')
('niraNkuSa', 'a)svecCAcArin', 'b)vilopaya', 'c)paripaRam', 'd)Siras')
('anukUlatA', 'a)AnukUlya', 'b)kelikaH', 'c)nAgarahavelI', 'd)kzipaRiH')
('sahfdayatA', 'a)anfSaMsatA', 'b)aBizekaH', 'c)goH', 'd)nirmukta')
('sAmaYjasyam', 'a)sOmanasyam', 'b)lalita', 'c)manoharatA', 'd)DUpikA')
('AramBaH', 'a)prakramaH', 'b)Amram', 'c)prativad', 'd)ApatkAlaH')
('nagnatA', 'a)pariDAnahInatA', 'b)raYjita', 'c)aDikArayukta', 'd)ASvAsaya')
('spazwatA', 'a)suspazwatA', 'b)guRagrAhikA', 'c)kalpakaH', 'd)gaRarAjyam')
('gopanIyatA', 'a)guptatA', 'b)ujabekistAnadeSIya', 'c)AgamavidyA', 'd)raktasaroruham')
('pratikUlatA', 'a)viparItatA', 'b)patrI', 'c)aniScitatA', 'd)viw')
('sadguRaH', 'a)guRaH', 'b)madAQya', 'c)upajIvin', 'd)param')
('raktadAnam', 'a)ruDiradAnam', 'b)ArevataH', 'c)kalpita', 'd)ganDanam')
('visaNgatiH', 'a)asaNgatiH', 'b)damanaH', 'c)veDanArha', 'd)BUbadarI')
('saMyogaH', 'a)yogaH', 'b)satyaBAziRI', 'c)paridevanAnam', 'd)avekz')
('asAmaYjasyam', 'a)sAmaYjasyahInatA', 'b)aYcalam', 'c)gopaH', 'd)saMhata')
('anujaH', 'a)jaGanyajaH', 'b)meksikodeSIya', 'c)maNgalyaH', 'd)viPala')
('agrajaH', 'a)pUrvajaH', 'b)komala', 'c)nakzatramaRqalam', 'd)saYcalanam')
('anupasTita', 'a)avidyamAna', 'b)pIqaya', 'c)DanaYjayaH', 'd)pratidarSaH')
('upasTita', 'a)vidyamAna', 'b)dagDikA', 'c)praSaMsaka', 'd)kAmaWaH')
('alAbU', 'a)pAtram', 'b)rakzapAlaH', 'c)anAkANkzA', 'd)jalavfScikaH')
('vartamAna', 'a)tAtkAlika', 'b)aprAptayOvanaH', 'c)Agni', 'd)BAzaRam')
('samayaH', 'a)niyamaH', 'b)ka', 'c)BaRqaH', 'd)kamalakandaH')
('sanDiH', 'a)maDyasTAvalaMbananiyamaH', 'b)gavyA', 'c)vapaH', 'd)aBivyaYjanA')
('aByupagamaH', 'a)saMvid', 'b)ASri', 'c)uktiH', 'd)turagapriyaH')
('paRaH', 'a)vipaRaH', 'b)SibikA', 'c)karaH', 'd)vellanam')
('anuyogADInatA', 'a)anusanDAnADInatA', 'b)tvarita', 'c)ve', 'd)muKaraH')
('vARijyam', 'a)vARijyA', 'b)nagAkAra', 'c)ucca', 'd)indrAsanam')
('anuBavaH', 'a)parIkzaRam', 'b)viMSatiH', 'c)muKam', 'd)solluRWa')
('smftiH', 'a)smaraRam', 'b)sambrU', 'c)aSikzitA', 'd)ataH')
('jYAnam', 'a)parijYAnam', 'b)uttarA', 'c)fkRavaham', 'd)Askandanam')
('anuBavin', 'a)pakva', 'b)CAtraH', 'c)gaRitam', 'd)vfdDiH')
('anuBUtiH', 'a)saMvedanA', 'b)saMlIna', 'c)asADutA', 'd)viDA')
('manoBAvaH', 'a)manovikAraH', 'b)lAlikA', 'c)SAkuntaleyaH', 'd)vartamAna')
('anujYA', 'a)anujYAnam', 'b)manoDyAnaH', 'c)nirRetftvam', 'd)pratisparDI')
('anumatiH', 'a)sammatiH', 'b)piDAnam', 'c)sEgaॉna', 'd)gfYjanam')
('tarkam', 'a)anumAnam', 'b)parikzayaH', 'c)SAlmalI', 'd)nirluRWanam')
('kalpanA', 'a)saNkalpaH', 'b)niviS', 'c)varDayitA', 'd)pakzapAtin')
('anumodanam', 'a)samarTanam', 'b)hajarata', 'c)tizyaH', 'd)upacAraH')
('praSaMsA', 'a)stuti', 'b)CalanApara', 'c)sarvarasaH', 'd)waॉvara')
('viroDaH', 'a)pratiroDaH', 'b)kalina', 'c)vinivft', 'd)BAgagrAhI')
('Asakta', 'a)mugDa', 'b)SatAkzI', 'c)malayaparvataH', 'd)vista')
('udyogin', 'a)prayatnavat', 'b)sidDArTakaH', 'c)agnyASayam', 'd)karRaguhA')
('aneka', 'a)viviDa', 'b)mahAnftyaH', 'c)jaradAlU', 'd)kalAmbi')
('praBAmaRqalam', 'a)ABAmaRqalam', 'b)nadIlaH', 'c)mahABAgaH', 'd)samAnagati')
('snehaH', 'a)prItiH', 'b)durnAman', 'c)arbudapatiH', 'd)tuS')
('vAtsalyam', 'a)vatsalatA', 'b)culumpA', 'c)nARakam', 'd)mocanam')
('ananyarUpa', 'a)aBinnarUpa', 'b)lokottaratA', 'c)lozwam', 'd)jYA')
('nElamaRqala', 'a)nIlamaRqalIya', 'b)upanibanD', 'c)lUnANga', 'd)kusumAgrajaH')
('aByarTanA', 'a)samarTanA', 'b)dEvam', 'c)samAveSakavyApI', 'd)uttamakarma')
('prArTanA', 'a)prArTanam', 'b)karIram', 'c)apekzitavyA', 'd)aSakya')
('yAcanA', 'a)patram', 'b)SarIrin', 'c)annASayaH', 'd)dravyam')
('BAzAntaram', 'a)BAzAntarIkaraRam', 'b)paripaW', 'c)maryAdA', 'd)samBAvyaH')
('anuvAdita', 'a)kftiH', 'b)muz', 'c)maYjI', 'd)Kacara')
('vivaraRam', 'a)vyAKyA', 'b)divasAntare', 'c)nimnaliKita', 'd)SizwAcArasevin')
('Darma', 'a)karma', 'b)sOBAgyaH', 'c)mandAraH', 'd)SAtyAyaniH')
('maNgalotsavaH', 'a)SuBotsavaH', 'b)carmacawakA', 'c)hf', 'd)amala')
('yajanam', 'a)yAgaH', 'b)mandaraH', 'c)nivas', 'd)SaSimayUKaH')
('saMkalpanam', 'a)niScayaH', 'b)ava़waH', 'c)ayutam', 'd)Atmacaritraracanam')
('anvezaRam', 'a)gavezaRA', 'b)rAtrijAgaraH', 'c)padAtiH', 'd)veSavAsaH')
('anvezaRam', 'a)anusanDAnam', 'b)sonahaH', 'c)jambUkaH', 'd)SUdra')
('cintanam', 'a)cintA', 'b)apavAdaH', 'c)nyasta', 'd)icCA')
('GfRA', 'a)aprItiH', 'b)dEvaparA', 'c)pratipad', 'd)parirakzita')
('viraktiH', 'a)vErAgyam', 'b)kumBIraH', 'c)pariSizya', 'd)rahasyam')
('asamarUpa', 'a)BinnarUpa', 'b)aBisaMSru', 'c)Karvawam', 'd)svAdahIna')
('anuvAdita', 'a)BAzAntarita', 'b)grIvA', 'c)caturTItiTiH', 'd)kORWyam')
('mUla', 'a)kftiH', 'b)vraRaSoDanaH', 'c)saBrUBaNgam', 'd)deSahitam')
('sandeSaH', 'a)sandizwaH', 'b)BArahArI', 'c)upahas', 'd)nirgamam')
('sAhitya', 'a)kftiH', 'b)nirRejakaH', 'c)vanam', 'd)meGAsaH')
('spazwIkaraRam', 'a)vyAKyA', 'b)zaqBujam', 'c)kORindaH', 'd)maDyaH')
('AKyAtam', 'a)tiNantaH', 'b)libI', 'c)apaBraMSita', 'd)pUtaPalaH')
('AramBaH', 'a)prAramBaH', 'b)agrajanmA', 'c)guhya', 'd)va')
('ekatAhIna', 'a)asaMgaWita', 'b)vAtulatA', 'c)aBizwu', 'd)mArgaH')
('aKAdyapadArTaH', 'a)aKAdyavastu', 'b)vArta', 'c)lambaH', 'd)vikzoBaya')
('aYjIravfkzaH', 'a)aYjIraH', 'b)kavacayukta', 'c)yOgikapadArTaH', 'd)nagaram')
('anya', 'a)apara', 'b)yatkiYcid', 'c)brijawAunanagaram', 'd)dIrGaH')
('anyaH', 'a)paraH', 'b)laguqaH', 'c)aparADitvam', 'd)kArAgopanam')
('vEkalpika', 'a)vikalpaka', 'b)vitaRqA', 'c)sevanam', 'd)apUrvatA')
('vikalANga', 'a)vikala', 'b)SrIPalA', 'c)AmraH', 'd)apUta')
('Orasa', 'a)Darmya', 'b)mahAnAdaH', 'c)udakyA', 'd)arUpa')
('svIya', 'a)svakIya', 'b)gaNgAjalam', 'c)jalpanam', 'd)anudarSanam')
('madIya', 'a)mAmaka', 'b)lolupa', 'c)pUrRaparivartanam', 'd)KesaraH')
('svayaNkalpita', 'a)svayaNkfta', 'b)dAnakartA', 'c)rOdra', 'd)vArzya')
('svajanaH', 'a)banDuH', 'b)sPuw', 'c)sTOReyam', 'd)nidrA')
('nija', 'a)Atmagata', 'b)samuccayaH', 'c)kaqandikA', 'd)karamukta')
('svajanIya', 'a)AtmajanIya', 'b)valliH', 'c)AijAkanyUwanamahodayaH', 'd)dAmam')
('deSaja', 'a)deSIya', 'b)senseSana', 'c)sev', 'd)yAyatya')
('apakIrtiH', 'a)akIrtiH', 'b)gajakumBaH', 'c)AKaH', 'd)puzkarAKyaH')
('aparADaH', 'a)pApam', 'b)agrahAyaRaH', 'c)vI', 'd)saraRam')
('aparAdDa', 'a)aparADin', 'b)balahA', 'c)vanaspati', 'd)AmraH')
('aparAhRaH', 'a)agnivelA', 'b)Patehapura', 'c)roDanaH', 'd)dIrGakIlakaH')
('apavAdaH', 'a)nizeDaH', 'b)aparAD', 'c)miSiH', 'd)utpalapatrikA')
('anAgatAparADaH', 'a)aviditAparADaH', 'b)pragrahaH', 'c)nadaganDA', 'd)mAraRam')
('aparAdDaH', 'a)aparAdDA', 'b)KaqgagrAhin', 'c)lUnANgatA', 'd)nirupadrava')
('AkzepaH', 'a)apavAdaH', 'b)lAlanam', 'c)drAvikA', 'd)ayogya')
('ucCizwa', 'a)Seza', 'b)upayogitA', 'c)aBivyaYj', 'd)kaRwI')
('kuvacanam', 'a)duruktiH', 'b)jaqam', 'c)prAyaScetanam', 'd)anuzRa')
('karma', 'a)kAryam', 'b)upakarRikA', 'c)vimalIkaraRam', 'd)saMveSaH')
('pApam', 'a)paNkam', 'b)SikTam', 'c)tanuH', 'd)uruRAKyam')
('utsavaH', 'a)parva', 'b)kusumam', 'c)paramARavIya', 'd)indradamanaH')
('piyAno', 'a)vAdyam', 'b)vipraH', 'c)Amram', 'd)saNgranT')
('ekatApUrRa', 'a)sOhArdapUrRa', 'b)kAryI', 'c)vikftivijYAnI', 'd)suvacanam')
('lokaH', 'a)janapadaH', 'b)saMkrAmaka', 'c)kAkAtuA', 'd)vanaspatiH')
('svajanaH', 'a)jYAtiH', 'b)paryawanam', 'c)mahAsAgaraH', 'd)saraGA')
('ananyagatika', 'a)ananyagati', 'b)pac', 'c)Ahan', 'd)jananam')
('tvadIya', 'a)tava', 'b)saMmiSra', 'c)snehaH', 'd)pratiDvAnam')
('manuzyaH', 'a)janaH', 'b)DArA', 'c)ISvarapradatta', 'd)SatapuzpaH')
('videSIya', 'a)parakIya', 'b)pA', 'c)mad', 'd)avadIrRa')
('vipakzIya', 'a)pratipakzIya', 'b)BOtikatA', 'c)jalpitam', 'd)unmad')
('atiTi', 'a)gfham', 'b)aBijYAnam', 'c)gocaraH', 'd)vAyupattanam')
('hradaH', 'a)jalASayaH', 'b)AjAdaH', 'c)kAryaviDiH', 'd)dEvaparatA')
('dAnavIra', 'a)dAnaSUra', 'b)ci', 'c)kuRqikaH', 'd)pUjaya')
('antarAvedI', 'a)praGAnaH', 'b)taTA', 'c)amaratA', 'd)aBivyaYj')
('grahaH', 'a)KagaH', 'b)suGarAIkAnhaqA', 'c)upayojita', 'd)nityA')
('pUjanIya', 'a)upAsanIya', 'b)ulleKaH', 'c)mahAtmA', 'd)ASaMsA')
('pUjita', 'a)ArADita', 'b)pipAsita', 'c)prakzAlanam', 'd)tapaH')
('pitarO', 'a)mAtApitarO', 'b)darI', 'c)avalokaH', 'd)rasyA')
('samarTakaH', 'a)anumodakaH', 'b)tamojyotiH', 'c)veDagfham', 'd)mfgavyam')
('agrajA', 'a)jyezWa', 'b)kotyaH', 'c)aBiyAcanA', 'd)mAnanIya')
('kAYcanakandaraH', 'a)kanakasTalI', 'b)virUpacakzus', 'c)vartakaH', 'd)kiriH')
('ayaH', 'a)loham', 'b)BaktarohidAsaH', 'c)KajaH', 'd)stanaya')
('pratipakzI', 'a)vipakzI', 'b)pratikriyA', 'c)tanuSilA', 'd)praTA')
('sUryavaMSaH', 'a)ravivaMSaH', 'b)kftakftya', 'c)prasaNgaH', 'd)kapilaH')
('candravaMSaH', 'a)somavaMSaH', 'b)ulupaH', 'c)apahArita', 'd)januH')
('AryaH', 'a)AryajanaH', 'b)upanyas', 'c)sarvaveSaH', 'd)sadAcAraH')
('KalaH', 'a)durjanaH', 'b)ucitaH', 'c)karkaH', 'd)paTaH')
('nAmaDeyam', 'a)nAma', 'b)SiKikaRWam', 'c)upalA', 'd)Bra')
('buDaH', 'a)rOhiReyaH', 'b)samAgam', 'c)prARahAraka', 'd)prahelikA')
('bfhaspatiH', 'a)guruH', 'b)saSmaSru', 'c)samaram', 'd)KuraH')
('SaniH', 'a)SanEScaraH', 'b)gopanam', 'c)apahArita', 'd)cAlaH')
('yamaH', 'a)yamarAjaH', 'b)karRe', 'c)SallakI', 'd)gfha')
('rAjyam', 'a)prAntaH', 'b)ar', 'c)anicCApUrva', 'd)yazwIpuzpaH')
('maRqalam', 'a)upavartanam', 'b)Palakam', 'c)SikzA', 'd)saMliK')
('viru', 'a)kruS', 'b)pakzma', 'c)kalihArI', 'd)ulbam')
('rud', 'a)prarud', 'b)dyut', 'c)rasApAyI', 'd)antevAsI')
('gE', 'a)anugE', 'b)niHsandeha', 'c)SvAnI', 'd)vijayin')
('aBiSvas', 'a)pariniHstan', 'b)kfpApAtra', 'c)hEdarAbAda', 'd)paRikaH')
('virUd', 'a)hikk', 'b)nirGAtaH', 'c)nirIkzaRam', 'd)janapriyatA')
('aSrURi', 'a)pat', 'b)avaboDaH', 'c)vedikA', 'd)karkawAkzaH')
('vilap', 'a)aBilap', 'b)gantrI', 'c)prArTya', 'd)vinidratvam')
('upamaRqalam', 'a)anumaRqalam', 'b)acalAkAra', 'c)urvarakaH', 'd)samasTalam')
('mantr', 'a)vicar', 'b)dUrasaYcAraH', 'c)AKewakaH', 'd)SAstravettA')
('upaSlAG', 'a)tarj', 'b)apucCa', 'c)sANgalI', 'd)Avyakta')
('Avizkf', 'a)vyaYj', 'b)kandaraH', 'c)saMyam', 'd)karRakIwI')
('aBivyaYj', 'a)vyaYj', 'b)upasTitiH', 'c)priya', 'd)anAgata')
('satyaSIla', 'a)satya', 'b)sampradA', 'c)mudrA', 'd)pAmara')
('viSvasanIya', 'a)viSvasta', 'b)pUrvam', 'c)liKanam', 'd)sarpI')
('kalpita', 'a)kAlpanika', 'b)KemawA', 'c)PalguPalA', 'd)prAdurBU')
('upanAma', 'a)kulanAma', 'b)arTapUrRa', 'c)alAbu', 'd)hatASa')
('arjitaguRaH', 'a)arjitANkaH', 'b)AliH', 'c)BAsvaraH', 'd)vi')
('BinnasaNKyA', 'a)BinnANka', 'b)taraRakft', 'c)kArpaRyam', 'd)nUpuram')
('BAjakaH', 'a)harakaH', 'b)saNkuc', 'c)koSikA', 'd)kAmaWaH')
('lipI', 'a)libI', 'b)asamIcIna', 'c)raktapiRqakaH', 'd)raYjita')
('svaraH', 'a)acvarRaH', 'b)nagaRA', 'c)peyam', 'd)durADarza')
('vyaYjanam', 'a)halvarRAH', 'b)nizkapawa', 'c)SatrumardanaH', 'd)nOGawwaH')
('saMyuktAkzaram', 'a)yuktAkzaram', 'b)pariGUrR', 'c)jaSapuram', 'd)ji')
('asamatala', 'a)asama', 'b)nArAyaRInadI', 'c)rAzwragAnam', 'd)upAntaBAgaH')
('pfzWavaMSaH', 'a)rIQakaH', 'b)urogAmI', 'c)Danalolupa', 'd)araba')
('SaktiH', 'a)sattvam', 'b)rUpam', 'c)masfRa', 'd)valkalam')
('muKam', 'a)Asyam', 'b)SizyaH', 'c)yAjYikaH', 'd)rucikArin')
('dantaH', 'a)daSanaH', 'b)upakArin', 'c)prasyand', 'd)pawwam')
('tAlu', 'a)tAlukam', 'b)ukanAhaH', 'c)prayatnaSIla', 'd)tandravAyaH')
('dantamUlam', 'a)dantamAMsam', 'b)avagItam', 'c)kAruRyam', 'd)apAkarma')
('virAmacihnANkanam', 'a)avasAnacihnANkanam', 'b)sAkzAtkAraH', 'c)SIGram', 'd)BItiH')
('hIram', 'a)hIrakaH', 'b)sAkzAt', 'c)udBUta', 'd)cint')
('ISvaraprItiH', 'a)ISvaraprema', 'b)laharaH', 'c)yena', 'd)aMSakaH')
('navaDABaktiH', 'a)navaviDABaktiH', 'b)JAvUH', 'c)dIrGotpIWikA', 'd)BUtAnI')
('BUmiH', 'a)BUtalam', 'b)pUjakaH', 'c)vidyudvemaH', 'd)krayapatram')
('sUkaradaMzwraH', 'a)daMzwrAdaRqaH', 'b)lohitama', 'c)surakzA', 'd)aviSIrya')
('kaRaH', 'a)binduH', 'b)vakra', 'c)droRakAkaH', 'd)sADujanaH')
('kzudrapiRqaH', 'a)piRqaH', 'b)rahamAna', 'c)SuBaleKanam', 'd)dvijaliNgI')
('budbudaH', 'a)qimbikA', 'b)atiTikakzaH', 'c)jAtiH', 'd)rohakaH')
('ruDiram', 'a)raktam', 'b)kUragIBAzA', 'c)fRagrastaH', 'd)prAktana')
('KarozwrI', 'a)KarozwrI', 'b)matsyAvatAraH', 'c)Sulvam', 'd)vasantaH')
('devanAgarIlipiH', 'a)nAgarIlipiH', 'b)vfttiH', 'c)dAnavIraH', 'd)saMsah')
('paropakAraH', 'a)parahitam', 'b)pApmA', 'c)ujji', 'd)SrA')
('viSvAsArhaH', 'a)viSvasanIyaH', 'b)kalpita', 'c)dAnaSIlatA', 'd)jalamocikA')
('hrasvasvaraH', 'a)hrasvaH', 'b)parijalp', 'c)ujjvalaya', 'd)uktiH')
('dIrGasvaraH', 'a)dIrGaH', 'b)puraHsaraH', 'c)raRakzetram', 'd)saMhatiH')
('nItiH', 'a)nayaH', 'b)cAwukAra', 'c)sTira', 'd)yatkiYcid')
('daMzwrA', 'a)carvaRA', 'b)prayA', 'c)siMhapucCI', 'd)Avinna')
('yojanam', 'a)saMyojanam', 'b)jyotizaSAstram', 'c)vAhaya', 'd)advitIya')
('vyavakalanam', 'a)vyavakalitam', 'b)saMyukta', 'c)AkAraH', 'd)gArhya')
('guRanakarma', 'a)guRanam', 'b)DAtrIPalam', 'c)PIwaH', 'd)AvaliH')
('BAgaharaH', 'a)BAgahAraH', 'b)kf', 'c)pratimocanam', 'd)vAjiBakzyaH')
('pEWikaraNgaH', 'a)mUlaraNgaH', 'b)upasTitam', 'c)digvAsa', 'd)kftiH')
('raktakoSikA', 'a)ruDirakaRam', 'b)apAkfta', 'c)pAvanaDvaniH', 'd)saMBa')
('SvetaraktakaRikA', 'a)SvetaruDirakaRikA', 'b)droRakAkaH', 'c)saGozavikrayaH', 'd)fRaSoDanam')
('anugrAhin', 'a)upakArin', 'b)pratizWApanA', 'c)surakzA', 'd)arkamUlA')
('lokopakAraH', 'a)janakalyARam', 'b)jantuPalaH', 'c)nizkaH', 'd)SastrI')
('apakArin', 'a)apakArakartf', 'b)aBOma', 'c)viSrutaH', 'd)saMgaraH')
('anuSAsanika', 'a)vEnayika', 'b)tuk', 'c)vicAraH', 'd)pAdakawakaH')
('janahitEzin', 'a)janahitecCu', 'b)gaRaH', 'c)sTAvara', 'd)campakaH')
('anEcCika', 'a)akAmika', 'b)rAzwravyApin', 'c)pramATaH', 'd)atyaDikatA')
('paYjaram', 'a)piYjaram', 'b)upatapta', 'c)upasADaH', 'd)dEvacintaka')
('mUzikonmaTaH', 'a)mUzikapaYjaraH', 'b)pARquvarmadevasya', 'c)vinirji', 'd)yatI')
('mUzikA', 'a)giriH', 'b)laGu', 'c)vitud', 'd)sUkzmajIvaSAstram')
('mUzakaH', 'a)mUzikaH', 'b)parvatAkAra', 'c)UrjaH', 'd)svapnadarSanam')
('stanapAyijantuH', 'a)stanapajantuH', 'b)girikarRA', 'c)prastaraH', 'd)praRihita')
('pfzWAsTimAn', 'a)pfzWavaMSaviSizwaH', 'b)panasAzWiH', 'c)aSudDatA', 'd)unmada')
('DAtu', 'a)paYjaram', 'b)astaM', 'c)prasUtA', 'd)vanajA')
('loha', 'a)paYjaram', 'b)o', 'c)madyaSAlA', 'd)jozam')
('SalAkA', 'a)daRqaH', 'b)kzar', 'c)mahArGa', 'd)gurjarapradeSaH')
('leKanI', 'a)AleKanI', 'b)Gfz', 'c)nipuRa', 'd)upAnte')
('patram', 'a)kargajam', 'b)duzprakftiH', 'c)gacCatA', 'd)rakz')
('citrita', 'a)varRita', 'b)AtatAyI', 'c)fkRavahI', 'd)kapawaDarmI')
('EcCika', 'a)kAmika', 'b)pAtakam', 'c)agfha', 'd)mfR')
('atyAvaSyaka', 'a)avaSyakartavya', 'b)pOrRamAsI', 'c)takram', 'd)kfpA')
('mInaH', 'a)mInarASiH', 'b)meGaDanuH', 'c)anItiH', 'd)BelakaH')
('kumBaH', 'a)kumBarASiH', 'b)vizaDara', 'c)vinayin', 'd)sinDuvArakam')
('makararASiH', 'a)makaraH', 'b)asuviDApUrRa', 'c)pAdasPowaH', 'd)stambakariH')
('DanuH', 'a)DanurASiH', 'b)sammiSraRam', 'c)avasecanam', 'd)vaSIkaraRavidyA')
('vfScikaH', 'a)vfScikarASiH', 'b)sambanDin', 'c)pravfttiH', 'd)himAnI')
('tulA', 'a)tulArASiH', 'b)has', 'c)bfhattaraRI', 'd)pawizWa')
('kanyA', 'a)kanyArASiH', 'b)kfzRaPalA', 'c)parikzAlaya', 'd)camarikaH')
('siMhaH', 'a)siMharASiH', 'b)kalmazam', 'c)maRiH', 'd)apamfj')
('karkaH', 'a)karkawaH', 'b)dozAt', 'c)aBisamprAp', 'd)kAYcana')
('miTunam', 'a)miTunarASiH', 'b)varzaya', 'c)pAtakI', 'd)utsavaH')
('vfzaBarASiH', 'a)vfzaBaH', 'b)girijam', 'c)sampUjaya', 'd)ruvuH')
('mezaH', 'a)mezarASiH', 'b)jananI', 'c)tulanAtmaka', 'd)kf')
('satyApita', 'a)pramARita', 'b)kzatipUrtiH', 'c)anusAritA', 'd)AkroSaya')
('gajaSAlA', 'a)hastiSAlA', 'b)jaloragI', 'c)kAlam', 'd)jayA')
('agraH', 'a)SiraH', 'b)parimARam', 'c)aByABU', 'd)aSabda')
('veRuH', 'a)vaMSaH', 'b)oGaH', 'c)mfgayAM', 'd)hEqena')
('palAvaH', 'a)baqiSaH', 'b)asat', 'c)koSikA', 'd)SmaSAne')
('daRqaH', 'a)kzveqaH', 'b)IkzaRam', 'c)tawavartin', 'd)SAsanam')
('samIpam', 'a)samIpataH', 'b)kAryasamAptiH', 'c)videSa', 'd)prakASaH')
('sTAnAntare', 'a)anyatra', 'b)nirupAKya', 'c)gopanIyatA', 'd)patanaSIla')
('utTitiH', 'a)utTAnam', 'b)parisamutsuka', 'c)maYjiH', 'd)udyogaH')
('tatvam', 'a)mUlavastU', 'b)UzA', 'c)paRaH', 'd)jYAnAtItaH')
('maDyamakozwakam', 'a)maDyamakozwakaH', 'b)Bakzya', 'c)aDikzepaH', 'd)bAlajanaH')
('vanaspati', 'a)UtakaH', 'b)asvAsTyatA', 'c)kAmAsakta', 'd)mananam')
('suzira', 'a)vAdyam', 'b)viBavaH', 'c)upasaBADyakzaH', 'd)dfzwinipAtaH')
('laGuveRuH', 'a)laGuvaMSaH', 'b)dantI', 'c)Gawaya', 'd)adaRqya')
('nAsikaveRuH', 'a)nAsikavaMSaH', 'b)yUkaH', 'c)uttaraRasTAnam', 'd)joqa')
('vAdyam', 'a)vAditram', 'b)aDikArIgaRaH', 'c)paryAlocanA', 'd)sara')
('mApakaH', 'a)mApikA', 'b)nAstikatAvAdI', 'c)virala', 'd)virudDArTitA')
('GanavAdyam', 'a)tAlavAdyam', 'b)vrIq', 'c)Amowanam', 'd)kanizWaH')
('tantuvAdyam', 'a)tantrIvAdyam', 'b)avyatIta', 'c)dakziRAmUrti', 'd)tilaparRI')
('mfdaNgaH', 'a)murajaH', 'b)ASvAsaH', 'c)nizkvATaH', 'd)rogI')
('AhituRqikavAdyam', 'a)alAbuvAdyam', 'b)dvIpasamUhaH', 'c)saMyuktatvam', 'd)srazwA')
('Ganam', 'a)JallarI', 'b)vaptA', 'c)SUrasenajaH', 'd)vapram')
('SAraNgI', 'a)sAraNgI', 'b)vAYCin', 'c)DAnyakozWakam', 'd)pAdukA')
('vIRA', 'a)GozavatI', 'b)hf', 'c)grAhya', 'd)DUpikA')
('gomuKaH', 'a)ganDatUryam', 'b)stEnyam', 'c)praharaH', 'd)puromArutaH')
('kabAbaH', 'a)kabAbAnnam', 'b)padArTaH', 'c)pavitraH', 'd)Suzkacarcanam')
